#1,2
#Volt,Volt
+9.934597790E+00,+160.223443E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.988869146E+00,+194.796309E-03
+9.934597790E+00,+196.957113E-03
+9.934597790E+00,+229.369175E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.988869146E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.988869146E+00,+162.384247E-03
+9.934597790E+00,+229.369175E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+160.223443E-03
+9.934597790E+00,+162.384247E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.930979700E+00,+194.796309E-03
+9.876708344E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+162.384247E-03
+9.934597790E+00,+194.796309E-03
+9.930979700E+00,+160.223443E-03
+9.876708344E+00,+162.384247E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+160.223443E-03
+9.930979700E+00,+162.384247E-03
+9.876708344E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.930979700E+00,+160.223443E-03
+9.876708344E+00,+162.384247E-03
+9.876708344E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+162.384247E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+162.384247E-03
+9.988869146E+00,+194.796309E-03
+9.934597790E+00,+196.957113E-03
+9.934597790E+00,+229.369175E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.988869146E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.988869146E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+162.384247E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+162.384247E-03
+9.988869146E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.930979700E+00,+194.796309E-03
+9.876708344E+00,+162.384247E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+162.384247E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.988869146E+00,+160.223443E-03
+9.934597790E+00,+162.384247E-03
+9.930979700E+00,+194.796309E-03
+9.876708344E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+162.384247E-03
+9.930979700E+00,+194.796309E-03
+9.876708344E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.988869146E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+162.384247E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.988869146E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.934597790E+00,+194.796309E-03
+9.930979700E+00,+194.796309E-03
+9.876708344E+00,+194.796309E-03
