# f/kHz | Minimum 1 | 2 | 3
 100, 0.24, 0.4,  0.49
 200, 0.24, 0.57, 0.74 
 300, 0.24, 0.74, 0.99
 400, 0.24, 0.94, 1.25
 500, 0.24, 1.08, 1.50
 600, 0.24, 1.25, 1.75
 700, 0.24, 1.42, 2.00
 800, 0.24, 1.58, 2.26
 900, 0.24, 1.75, 2.51
1000, 0.24, 1.93, 2.76
