# d[μm] U[mV]
 10  601.2
 20  601.2
 40  576.25
 60  537.5
 80  483.75
100  422
120  362.5
140  300
160  241.25
180  183.75
200  142.5
220  102.75
240  75
260  52
280  36
300  27
320  19.25
340  15.25
360  12.25
380  10.75
400  10.5
